Country_sample,city,D3_Cityrecode,walk_time,bike_time,car_time,line_distance,PT_fastest_arr,PT_shortest_time,walk_distances
Estonia,EE001C1,Tallinn,3.6316883832245623,10.570924652588811,27.55568773556521,8.276810526011946,2.0678022507109666,3.6316846360285555,10152.132071713148
Greece,EL001K2,Athina,3.415773305193878,9.772473617380687,14.5685560469036,1.5886301491315342,1.0346752565554715,3.415773305193878,2175.239
Spain,ES001K1,Madrid,2.9803090717704843,9.17285748341587,23.139030452396078,5.180244766767952,1.2926052074556713,2.9803090717704843,8494.73296336207
Spain,ES002K2,Barcelona,2.939084907579467,8.679310068397141,17.70887527990987,1.94545577552104,0.9412205024847247,2.939084907579467,3079.1441600000003
Spain,ES006C1,Málaga,2.950708579683825,9.340238633370692,19.563590311796307,8.018105623189212,1.63920784274745,2.950708579683825,12526.309592326139
Finland,FI001K2,Helsinki / Helsingfors,3.431695963525914,10.282832606057486,29.207214857574687,8.792354297858166,1.855929828513124,3.431695963525914,11636.821341256367
Finland,FI004C3,Oulu / Uleåborg,3.1432784443846353,10.762851999985202,29.71562850877126,8.379263259110965,1.7069114412438378,3.1432784443846353,12612.30779661017
France,FR001K2,Paris,3.1477545240842333,8.950116070614312,16.509253043527394,1.1391743616509813,0.469233506770943,3.1477545240842333,1666.83518
France,FR006C3,Strasbourg,3.3285779282671863,9.323680669171914,17.802743267479933,1.4974585602724615,0.6579392917991598,3.3285779282671863,2091.852952952953
France,FR007C2,Bordeaux,3.5150962120279376,10.391746975412472,25.499869709196624,4.966997619547586,1.3782376442062854,3.5150962120279376,6403.95147
France,FR009C2,Lille,3.2778492598354734,8.68374759429555,18.076499448309637,0.6103372591254896,0.27306622813530324,3.2778492598354734,938.257927927928
France,FR013C3,Rennes,3.1942419536204754,9.707789486289577,22.463742725378196,3.5599688960258704,1.3265137947650674,3.1942419536204754,5106.98286
France,FR203C2,Marseille,3.196053626576844,10.11163529951056,21.500846380327324,4.479471115943327,1.458146873064276,3.196053626576844,6627.456171954964
Croatia,HR001C1,Zagreb,3.4343923864185766,10.627076719805318,25.61657682475107,9.280726068893207,2.049892487329466,3.4343923864185766,12309.687613636364
Hungary,HU001C1,Budapest,3.6261046662402348,10.664355083193303,27.884247071333146,9.453901620343123,1.9694650097166835,3.6261046662402348,11792.319574861367
Hungary,HU002C1,Miskolc,3.480433498666427,11.000838589440749,19.47546502601919,8.033123364383748,1.7818398879089263,3.480433498666427,10622.066087551299
Iceland,IS001C1,Reykjavík,3.2885030698153557,10.613934261481429,33.59284196477014,8.268117432477892,1.7413395637084306,3.2885030698153557,11796.080592885375
Italy,IT001C1,Roma,3.2353587231966183,10.11997460635569,28.79082289321675,8.845224580918543,1.8014324783012527,3.2353587231966183,12544.769411764706
Italy,IT003K1,Napoli,3.3817573021802256,10.88633837206669,20.315927608699486,1.257823133364294,0.5167484704465466,3.3817573021802256,1737.596
Italy,IT004C1,Torino,3.491396267509742,9.843714814815476,27.7391064607609,7.001400571687555,1.661612108003335,3.491396267509742,8825.561698492464
Italy,IT005C1,Palermo,3.2196130926107793,10.058634543725299,23.2827336518181,7.3293755903844735,1.6323905211287253,3.2196130926107793,10645.438830584708
Italy,IT009C1,Bologna,3.3586906430985355,9.39884458707912,25.059210601887642,7.265825971010068,1.6632632139546077,3.3586906430985355,9734.583028095733
Lithuania,LT001C1,Vilnius,3.5398512035956036,10.68536251670261,29.601332990900726,9.282408638882108,2.186409926754117,3.5398512035956036,11988.419321739131
Luxembourg,LU001C1,Luxembourg,3.319331797888661,8.96685297938615,28.931070317555353,4.763546645734313,1.3258959630054947,3.319331797888661,6312.681434302908
Latvia,LV001C1,Riga,3.4708276202435533,9.976344689032537,24.600729644173192,8.77108144842283,1.8613869534315381,3.4708276202435533,11402.147837398374
Netherlands,NL002C2,Amsterdam,3.04530981923143,9.047120145361298,21.59433083642953,2.5907024580998206,0.9764424703166885,3.04530981923143,3858.5465450643774
Netherlands,NL003C2,Rotterdam,3.0178344817212146,8.733580808824435,18.51532756702676,2.2369806943841173,0.8889414878465683,3.0178344817212146,3487.46624
Netherlands,NL007C1,Groningen,3.495069308807232,11.307641871541463,32.27977392637355,8.541155357811629,1.9651330789119208,3.495069308807232,11404.74219143577
Norway,NO001C1,Oslo,3.514874313037402,9.970202481246691,23.861664507852435,9.226233373559369,2.124805351859598,3.514874313037402,12045.330847826088
Poland,PL001C1,Warszawa,3.600583646582583,10.170012669859995,30.566161647762975,9.479303976346616,1.97226333297323,3.600583646582583,11662.982683363149
Poland,PL003C1,Kraków,3.5243189968390407,9.998219913702755,29.238474207842316,8.782395951303439,1.8787162074631536,3.5243189968390407,11148.63721825963
Poland,PL006C1,Gdańsk,3.5099955343468525,10.131353915181553,28.155172958836737,8.239562267901775,1.812447500687137,3.5099955343468525,10542.664783599088
Poland,PL011C1,Białystok,3.642809354420542,9.995007740545125,27.29916206052393,6.087378805818799,1.5789442172403223,3.642809354420542,7350.887041237113
Serbia,RS001C1,Beograd,3.3329121115297116,11.667852815204823,25.151475785762543,8.01478202048072,1.9488919738570294,3.3329121115297116,11404.028631961259
Sweden,SE001K1,Stockholm,3.52906660030378,10.557239419376943,28.898946978765252,5.666408355916366,2.0389477841020813,3.52906660030378,7559.294994708995
Sweden,SE003C1,Malmö,3.6593274254968873,11.259314555714706,35.635399678206845,7.190940670469537,2.2355402784977056,3.659308801612249,9007.862836644592
Slovenia,SI001C1,Ljubljana,3.447847159086536,10.14210481934433,27.811201584615567,8.545944366714922,1.8352699574964315,3.447847159086536,11256.247510608204
Slovakia,SK001C1,Bratislava,3.2519390761699483,8.02844910955566,15.991075525601396,2.079824086510109,0.8969123191543603,3.2519390761699483,2743.4822211055275
United Kingdom,UK004K1,Glasgow,3.242287759080615,10.689799655176913,30.900091846275767,7.603046330643432,1.8700634170178985,3.242287759080615,11002.008999999998
United Kingdom,UK008K1,Manchester,3.6033484784170717,10.75032421904879,31.09703977132077,7.5175218693664165,1.967972402577154,3.6033484784170717,9444.703129533678
United Kingdom,UK009C1,Cardiff,3.6233312660156427,10.275057695802754,28.972934688900146,8.120207314039844,2.066442913211516,3.6233312660156427,10007.637273972603
United Kingdom,UK013K1,Tyneside conurbation,3.575270883012981,10.607947180014383,34.53177163674442,6.858001767799887,1.657964259980847,3.575270883012981,8734.84003033367
