D3_Cityrecode,avg_PT_satisfaction,avg_Life_satisfaction,avg_EasyToGet,avg_Frequent,avg_Reliable,pct_primary_car,pct_primary_motorcycle,pct_primary_bicycle,pct_primary_foot,pct_primary_train,pct_primary_urbanPT
Athina,2.4592326139088727,2.3275058275058274,2.676056338028169,2.3236363636363637,2.3047619047619046,0.45063879210220675,0.0859465737514518,0.06736353077816493,0.2183507549361208,0.029036004645760744,0.13240418118466898
Budapest,2.637824474660074,2.9952830188679247,3.221419975932611,2.777233782129743,2.617359413202934,0.4413145539906103,0.03286384976525822,0.056338028169014086,0.20774647887323944,0.022300469483568074,0.22887323943661972
Miskolc,2.109232769830949,2.794600938967136,3.1830143540669855,2.2133333333333334,2.8423645320197046,0.41890315052508753,0.038506417736289385,0.060676779463243874,0.17386231038506417,0.010501750291715286,0.2765460910151692
Bologna,2.6139927623642945,3.1460280373831777,2.988249118683901,2.9422169811320753,2.8503562945368173,0.5134189031505251,0.0676779463243874,0.11901983663943991,0.16802800466744458,0.009334889148191364,0.11085180863477247
Napoli,1.3254437869822486,2.3488372093023258,1.9310747663551402,1.0759193357058126,1.036427732079906,0.49189814814814814,0.08449074074074074,0.059027777777777776,0.19907407407407407,0.016203703703703703,0.13194444444444445
Palermo,1.0813106796116505,2.30814639905549,1.8971631205673758,1.110179640718563,0.942652329749104,0.6492450638792102,0.07317073170731707,0.07317073170731707,0.1091753774680604,0.020905923344947737,0.053426248548199766
Roma,1.195729537366548,2.5152582159624415,1.812206572769953,1.199046483909416,0.9488703923900119,0.6023391812865497,0.06900584795321638,0.03859649122807018,0.10526315789473684,0.016374269005847954,0.14736842105263157
Torino,2.1694117647058824,2.8840909090909093,2.5933179723502304,1.822505800464037,1.9247685185185186,0.47392290249433106,0.03854875283446712,0.10430839002267574,0.17573696145124718,0.022675736961451247,0.1689342403628118
Vilnius,2.577319587628866,3.4085510688836105,3.034688995215311,2.830694275274056,2.7936893203883497,0.5425531914893617,0.03309692671394799,0.041371158392434985,0.16312056737588654,0.010638297872340425,0.19148936170212766
Luxembourg,3.208133971291866,3.5427901524032825,3.2555685814771396,3.0450771055753263,2.8119760479041918,0.5064327485380117,0.06666666666666667,0.10175438596491228,0.14736842105263157,0.022222222222222223,0.14035087719298245
Riga,2.570700636942675,2.8284714119019836,3.1159250585480094,2.6824085005903187,2.7505910165484635,0.5,0.044186046511627906,0.06511627906976744,0.15465116279069768,0.022093023255813953,0.20813953488372092
Amsterdam,3.0121065375302662,3.4521841794569066,3.332533013205282,3.155688622754491,3.106842737094838,0.3497076023391813,0.0456140350877193,0.32514619883040935,0.14619883040935672,0.01871345029239766,0.10058479532163743
Groningen,2.9237726098191215,3.6402366863905327,3.262086513994911,3.1132075471698113,3.222784810126582,0.3317591499409681,0.04014167650531287,0.3659976387249115,0.12278630460448642,0.015348288075560802,0.089728453364817
Rotterdam,3.263990267639903,3.310344827586207,3.318562874251497,3.292121212121212,3.230769230769231,0.4234875444839858,0.04744958481613286,0.20521945432977462,0.1601423487544484,0.017793594306049824,0.11269276393831554
Białystok,2.920103092783505,3.3713278495887193,3.128689492325856,2.8752997601918464,2.7822966507177034,0.5547785547785548,0.038461538461538464,0.1048951048951049,0.1386946386946387,0.01048951048951049,0.13986013986013987
Gdańsk,2.8894409937888197,3.491103202846975,3.1573301549463646,2.9123649459783914,2.4504830917874396,0.5377358490566038,0.04481132075471698,0.0660377358490566,0.12735849056603774,0.02240566037735849,0.18985849056603774
Kraków,2.8412322274881516,3.1416957026713126,3.076655052264808,2.914419695193435,2.454970760233918,0.46436781609195404,0.041379310344827586,0.09540229885057472,0.1425287356321839,0.01264367816091954,0.23908045977011494
Warszawa,2.9183168316831685,3.155397390272835,3.2449464922711058,3.0955259975816203,2.732445520581114,0.45475910693301996,0.03055229142185664,0.0846063454759107,0.1645123384253819,0.025851938895417155,0.23031727379553465
Bratislava,2.589542483660131,3.2158956109134045,3.1092436974789917,2.8866103739445115,2.5626506024096387,0.46760895170789163,0.03651354534746761,0.07538280329799764,0.19199057714958775,0.01884570082449941,0.19316843345111898
Ljubljana,2.6263473053892215,3.338785046728972,2.808333333333333,2.6,2.6206896551724137,0.5180442374854481,0.048894062863795114,0.1280558789289872,0.13038416763678695,0.017462165308498253,0.1420256111757858
